activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,max_squared
K,0,2,AW,H,9.54,9.33,9.45341999999997,0.0201423690279999,9.45,9.54,0.209999999999999,0.0858599999999999,0.0142428057288606,669.8118461778076,1.0091585902244933,0.0090824273120204,1.0091585902138185,91.01159999999999
K,0,2,AW,H,9.51,9.38,9.454099999999972,0.0158332366484412,9.45,9.51,0.129999999999999,0.0855899999999999,0.0111957890022441,849.4265118870815,1.00591277858284,0.0090532150072455,1.0059127785722,90.4401
K,0,2,AW,H,9.61,9.34,9.45321999999997,0.0229539837662548,9.45,9.61,0.2699999999999996,0.0864899999999999,0.0162309175763647,592.0798965792272,1.0165848250649017,0.0091492634255841,1.0165848250541478,92.3521
K,0,2,AW,H,9.61,9.27,9.450999999999963,0.023265480118198,9.45,9.61,0.3399999999999998,0.0864899999999999,0.0164511787591386,584.1526701946281,1.0168236165485172,0.0091514125489366,1.0168236165377582,92.3521
K,0,2,AW,H,9.97,9.26,9.452279999999972,0.0399549044396,9.45,9.97,0.7100000000000009,0.08973,0.0282523838709016,352.8905753779075,1.0547719703605936,0.0094929477332453,1.0547719703494345,99.40090000000001
K,0,2,AW,H,9.56,9.39,9.453299999999969,0.0167412825399422,9.45,9.56,0.1699999999999999,0.0860399999999999,0.0118378744097531,807.5774137393788,1.011287063776674,0.00910158357399,1.0112870637659763,91.3936
K,0,2,AW,H,9.65,9.3,9.454039999999978,0.0249182712177424,9.45,9.65,0.3499999999999996,0.08685,0.0176198785535112,547.6768736341243,1.0207276465934163,0.0091865488193407,1.0207276465826198,93.1225
K,0,2,AW,H,9.56,9.33,9.454179999999967,0.0196545211185827,9.45,9.56,0.2300000000000004,0.0860399999999999,0.013897845163924,687.8764216495807,1.0111929326499003,0.0091007363938491,1.0111929326392044,91.3936
K,0,2,AW,H,9.54,9.38,9.453459999999977,0.0198144802418463,9.45,9.54,0.1599999999999983,0.0858599999999999,0.0140109533446964,680.8958509315997,1.0091543202171505,0.0090823888819543,1.0091543202064754,91.01159999999999
K,0,2,AW,H,9.54,9.39,9.453599999999968,0.0160859415338385,9.45,9.54,0.1499999999999985,0.0858599999999999,0.0113744783403475,838.7197825292534,1.0091393754760123,0.0090822543792841,1.0091393754653375,91.01159999999999
LAF,1,1,AW,H,10.3,8.18,9.465419999999982,0.1135279736523259,9.46,10.3,2.120000000000001,0.0927,0.0802764000239273,128.30670031204633,1.088171470468296,0.0097935432342146,1.0881714704568,106.09000000000002
LAF,1,1,AW,H,11.47,7.75,9.457719999999975,0.1662349835007029,9.46,11.47,3.7200000000000006,0.10323,0.1175458841037808,97.57891641593488,1.2127658674606594,0.0109148928071459,1.2127658674478363,131.5609
LAF,1,1,AW,H,11.55,8.71,9.460079999999978,0.1439146150773636,9.46,11.55,2.84,0.10395,0.1017630002330555,113.49901215125756,1.2209199076540609,0.0109882791688865,1.2209199076411548,133.4025
LAF,1,1,AW,H,10.2,8.25,9.457879999999989,0.1297257226854123,9.46,10.2,1.9499999999999993,0.0917999999999999,0.0917299382051806,111.19597592211107,1.0784657872588794,0.0097061920853299,1.0784657872474768,104.03999999999999
LAF,1,1,AW,H,10.12,8.64,9.46043999999998,0.085454146900223,9.46,10.12,1.4799999999999986,0.0910799999999999,0.060425206753659,167.4797744798313,1.0697176875494183,0.0096274591879447,1.0697176875381114,102.41439999999999
LAF,1,1,AW,H,10.05,8.84,9.459259999999976,0.0713627190860235,9.46,10.05,1.2100000000000009,0.09045,0.0504610625896379,199.16346355464472,1.062450973966254,0.0095620587656962,1.062450973955022,101.00250000000001
LAF,1,1,AW,H,11.53,7.72,9.462759999999983,0.148564211875203,9.46,11.53,3.81,0.1037699999999999,0.105050761658591,109.75646266584756,1.2184605759841758,0.0109661451838575,1.2184605759712994,132.9409
LAF,1,1,AW,H,10.91,8.36,9.468039999999982,0.1410416388439086,9.46,10.91,2.5500000000000007,0.09819,0.0997314992561917,109.39372295982666,1.1522976244291343,0.0103706786198622,1.1522976244169638,119.02810000000001
LAF,1,1,AW,H,10.49,8.72,9.457639999999971,0.1211386790381926,9.46,10.49,1.7699999999999996,0.09441,0.0856579814118867,122.46377777172682,1.1091561954145042,0.0099824057587305,1.1091561954027769,110.04010000000001
LAF,1,1,AW,H,11.06,7.07,9.461919999999974,0.1608404579258951,9.46,11.06,3.99,0.09954,0.11373137848855,97.24668905787928,1.1688959534639936,0.0105200635811759,1.16889595345164,122.32360000000001
SC,0,2,AD,H,9.48,9.41,9.44125999999997,0.0138345650593275,9.44,9.48,0.0700000000000002,0.08532,0.0097825147682169,969.0759712216528,1.004103265877651,0.0090369293928988,1.0041032658670157,89.8704
SC,0,2,AD,H,9.49,9.39,9.441079999999989,0.0150494708593457,9.44,9.49,0.0999999999999996,0.08541,0.0106415828979127,891.7846236823859,1.005181610578452,0.009046634495206,1.0051816105678053,90.0601
SC,0,2,AD,H,9.48,9.38,9.438299999999971,0.014495870464413,9.44,9.48,0.0999999999999996,0.08532,0.0102501283045882,924.866471745186,1.0044181685261149,0.009039763516735,1.004418168515473,89.8704
SC,0,2,AD,H,9.48,9.4,9.440519999999973,0.0139182266854703,9.44,9.48,0.08,0.08532,0.0098416724713876,963.2509136593276,1.0041819730269126,0.0090376377572422,1.0041819730162755,89.8704
SC,0,2,AD,H,9.48,9.4,9.440779999999984,0.0142266086185561,9.44,9.48,0.08,0.08532,0.010059731427468,942.3710830007786,1.0041543177576446,0.0090373888598188,1.0041543177470085,89.8704
SC,0,2,AD,H,9.48,9.4,9.440339999999978,0.0138154309474779,9.44,9.48,0.08,0.08532,0.0097689849079761,970.4181232033438,1.004201119874922,0.0090378100788742,1.0042011198642848,89.8704
SC,0,2,AD,H,9.49,9.4,9.439519999999977,0.0148529734950039,9.44,9.49,0.0899999999999998,0.08541,0.0105026382791013,903.5824854487922,1.0053477295455728,0.0090481295659101,1.0053477295349225,90.0601
SC,0,2,AD,H,9.48,9.39,9.440279999999984,0.014406133185095,9.44,9.48,0.0899999999999998,0.08532,0.0101866744658572,930.6275597373976,1.004207502319848,0.0090378675208786,1.0042075023092103,89.8704
SC,0,2,AD,H,9.48,9.39,9.440099999999994,0.013977866844517,9.44,9.48,0.0899999999999998,0.08532,0.0098838444322806,959.1409562293752,1.0042266501414188,0.0090380398512727,1.0042266501307808,89.8704
SC,0,2,AD,H,9.48,9.4,9.441039999999974,0.0144268731656821,9.44,9.48,0.08,0.08532,0.0102013398467721,929.2896955099128,1.004126664011595,0.0090371399761043,1.004126664000959,89.8704
SC,0,3,AD,H,9.48,9.39,9.439579999999976,0.0145893556607958,9.44,9.48,0.0899999999999998,0.08532,0.010316232320891,918.9401425947271,1.0042819701724044,0.0090385377315516,1.0042819701617651,89.8704
SC,0,3,AD,H,9.48,9.39,9.440019999999976,0.0140782098288088,9.44,9.48,0.0899999999999998,0.08532,0.0099547976369178,952.3046420193394,1.00423516051873,0.0090381164446685,1.004235160508092,89.8704
SC,0,3,AD,H,9.49,9.4,9.44117999999998,0.0143114371908953,9.44,9.49,0.0899999999999998,0.08541,0.0101197142862074,937.7735113464912,1.005170963799019,0.0090465386741911,1.005170963788372,90.0601
SC,0,3,AD,H,9.49,9.41,9.441179999999974,0.014255315782406,9.44,9.49,0.08,0.08541,0.0100800304576949,941.4654092394596,1.0051709637990194,0.0090465386741911,1.0051709637883728,90.0601
