activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin
RBS,0,2,AD,H,883.0,-885.0,-0.402,115.30253138369068,0.0,885.0,1768.0,7.964999999999999,81.53120182938238,10.854740027652356,-2201.492537313433,-19.81343283582089,-2201.492537861068
RBS,0,2,AD,H,532.0,-1175.0,-1.302,109.14151610214212,0.0,1175.0,1707.0,10.575,77.17470614480546,15.225195646295155,-902.457757296467,-8.122119815668201,-902.4577573657801
RBS,0,2,AD,H,1030.0,-1291.0,-0.896,162.06137405910098,0.0,1291.0,2321.0,11.619,114.59469656559995,11.265791862025349,-1440.8482142857142,-12.967633928571429,-1440.8482144465231
RBS,0,2,AD,H,987.0,-831.0,-0.486,119.92292867355803,0.0,987.0,1818.0,8.883,84.79831608482354,11.63938207231269,-2030.8641975308642,-18.277777777777775,-2030.8641979487377
RBS,0,2,AD,H,1967.0,-2929.0,-1.316,210.59149484107567,1.0,2929.0,4896.0,26.360999999999997,148.91067406233643,19.669510049856285,-2225.6838905775076,-20.031155015197566,-2225.6838907466326
RBS,0,2,AD,H,2193.0,-2705.0,2.342,253.5513786972545,1.5,2705.0,4898.0,24.345,179.28789925602698,15.08746553015941,1154.995730145175,10.394961571306574,1154.9957300958583
RBS,0,2,AD,H,2081.0,-1586.0,-0.712,155.470625156565,1.0,2081.0,3667.0,18.729,109.93433332351896,18.92948214709188,-2922.752808988764,-26.304775280898877,-2922.7528093992632
RBS,0,2,AD,H,1118.0,-685.0,2.0,130.8523621543101,2.0,1118.0,1803.0,10.062,92.52659261359062,12.083012768761403,559.0,5.031,558.99999997205
RBS,0,2,AD,H,1619.0,-1138.0,2.382,165.24452057226682,0.5,1619.0,2757.0,14.571,116.84552105056981,13.85590123988843,679.6809403862301,6.11712846347607,679.6809403576959
RBS,0,2,AD,H,2194.0,-2051.0,0.09,181.50736554612595,2.0,2194.0,4245.0,19.746,128.34508901297116,17.094537990294775,24377.777777777777,219.4,24377.77775069136
RBS,0,2,AD,H,519.0,-535.0,-0.684,72.87478035110944,0.0,535.0,1054.0,4.8149999999999995,51.53025136374965,10.382250927197305,-782.1637426900584,-7.039473684210525,-782.1637428044098
RBS,0,2,AD,H,1553.0,-1042.0,2.432,158.36106158919026,2.0,1553.0,2595.0,13.976999999999999,111.97818052561692,13.868773297711554,638.5690789473684,5.747121710526315,638.5690789211114
RBS,0,2,AD,H,1170.0,-1194.0,1.962,146.40371803102067,1.0,1194.0,2364.0,10.745999999999999,103.52306181065794,11.533661960112882,608.5626911314985,5.477064220183486,608.5626911004811
RBS,0,2,AD,H,798.0,-709.0,-0.122,116.38469792813679,0.0,798.0,1507.0,7.1819999999999995,82.29640913133345,9.696656372047833,-6540.983606557377,-58.86885245901639,-6540.9836119188385
RBS,0,2,AD,H,1125.0,-985.0,1.826,154.96217045635714,1.0,1125.0,2110.0,10.125,109.5748015570758,10.26695904545175,616.1007667031763,5.544906900328587,616.1007666694359
RBS,0,3,AD,H,543.0,-286.0,0.212,53.307245105722004,0.0,543.0,829.0,4.887,37.693914500629425,14.405508347797966,2561.3207547169814,23.05188679245283,2561.320753508811
RBS,0,3,AD,H,135.0,-246.0,-0.648,31.864946974557842,0.0,246.0,381.0,2.214,22.53192008785961,10.917844508624318,-379.6296296296296,-3.4166666666666665,-379.62962968821444
RBS,0,3,AD,H,224.0,-525.0,0.138,54.68997112710673,0.0,525.0,749.0,4.725,38.67164944687366,13.575836756620236,3804.347826086956,34.2391304347826,3804.347823330182
RBS,0,3,AD,H,161.0,-191.0,-0.046,36.18788485142562,0.0,191.0,352.0,1.7189999999999999,25.588698775240992,7.464232616033098,-4152.173913043478,-37.369565217391305,-4152.173922069944
RBS,0,3,AD,H,307.0,-245.0,-0.782,36.42400158938564,1.0,307.0,552.0,2.763,25.75565852180417,11.919710759486138,-392.5831202046036,-3.533248081841432,-392.58312025480603
RBS,0,3,AD,H,253.0,-256.0,-0.718,31.97128088774684,-1.5,256.0,509.0,2.304,22.607109518945652,11.323871359381963,-356.54596100278553,-3.2089136490250696,-356.5459610524438
RBS,0,3,AD,H,121.0,-122.0,-0.742,26.69915965442555,-1.0,122.0,243.0,1.0979999999999999,18.879156843626586,6.462152998171948,-164.42048517520215,-1.4797843665768193,-164.42048519736124
RBS,0,3,AD,H,427.0,-287.0,-0.158,48.54876931503011,0.0,427.0,714.0,3.8429999999999995,34.329164000919164,12.438403684650376,-2702.53164556962,-24.322784810126578,-2702.5316472800832
RBS,0,3,AD,H,203.0,-138.0,-0.438,32.188606194389266,-0.5,203.0,341.0,1.827,22.760781716995957,8.918850087139829,-463.4703196347032,-4.171232876712328,-463.47031974051833
RBS,0,3,AD,H,321.0,-243.0,-0.21,34.16777390388631,0.0,321.0,564.0,2.889,24.16026462548676,13.286278315899562,-1528.5714285714287,-13.757142857142856,-1528.5714292993198
RBS,0,3,AD,H,230.0,-196.0,-0.582,29.379748386098562,-1.0,230.0,426.0,2.07,20.774619313364816,11.07120166827969,-395.18900343642616,-3.556701030927835,-395.189003504328
