activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,PC1,PC2,PC3,PC4,PC5
RBS,0,3,AD,H,321.0,-243.0,-0.21,34.16777390388631,0.0,321.0,564.0,2.889,24.16026462548676,13.286278315899562,-1528.571428571429,-13.757142857142856,-1528.5714292993198,-911.8960351810963,-7727.9400176583795,75.89548484442881,-111.11106059506498,-12.431841979855406
RBS,0,3,AD,H,230.0,-196.0,-0.582,29.37974838609856,-1.0,230.0,426.0,2.07,20.774619313364816,11.07120166827969,-395.18900343642616,-3.556701030927835,-395.189003504328,689.0478050788356,-7935.105280974519,44.55349239757257,-122.86175187636977,-9.80026609407313
RBS,0,3,AD,H,197.0,-154.0,-0.312,31.59238537412543,0.0,197.0,351.0,1.773,22.33918993190279,8.818582974607443,-631.4102564102565,-5.6826923076923075,-631.4102566126315,354.067174286242,-8028.815409810324,50.93504248855834,-113.2726468232712,-2.4549941357304306
RBS,0,3,AD,H,198.0,-116.0,-0.036,24.653403103205417,0.0,198.0,314.0,1.7819999999999998,17.432588513602024,11.358037840766317,-5500.0,-49.5,-5500.000015277778,-6531.347640123551,-8003.782373858633,83.0841949767258,-90.99591212500755,-9.272723680954478
RBS,0,3,AD,H,340.0,-243.0,0.134,32.07206383376527,0.0,340.0,583.0,3.0599999999999996,22.678373823503243,14.992256616196764,2537.3134328358205,22.835820895522385,2537.313430942303,4838.274204902997,-7753.8497878851185,83.90979941372115,-102.99615926396908,-15.459006228401137
RBS,0,3,AD,H,594.0,-224.0,1.264,46.63474995974155,0.0,594.0,818.0,5.345999999999999,32.97574793547232,18.013238127679543,469.9367088607595,4.229430379746835,469.93670882358094,1918.32910568622,-7356.14243136993,271.90263102206075,14.36117642884588,-11.187325073257055
K,0,3,AW,H,425.0,-913.0,-1.428,90.4514441205168,-0.5,913.0,1338.0,8.216999999999999,63.9588295057335,14.274807826465231,-639.3557422969188,-5.754201680672268,-639.3557423416917,355.8861731956389,-6628.807802186143,-334.69432639577167,-7.744392865194456,17.21290702832173
K,0,3,AW,H,160.0,-277.0,-0.116,35.92436030504445,-1.5,277.0,437.0,2.493,25.40235878148576,10.904499160207456,-2387.9310344827586,-21.491379310344826,-2387.93103654132,-2128.825380501027,-7875.785762194206,-61.82028804227666,-92.94369929005131,-0.8729348552895146
K,0,3,AW,H,602.0,-820.0,-1.748,84.87324331532126,-1.0,820.0,1422.0,7.379999999999999,60.014445889559475,13.663377006079346,-469.1075514874142,-4.221967963386727,-469.107551514251,597.3240028782766,-6577.906861069861,-136.95648833257636,-123.6642028177908,0.47531147667450213
K,0,3,AW,H,189.0,-219.0,-0.15,33.78778965038876,-1.0,219.0,408.0,1.971,23.891575183094535,9.166411101891784,-1460.0,-13.14,-1460.0000009733335,-817.0562629486478,-7945.186854639095,0.819340988997677,-126.34613297246551,-3.0795083241360217
K,0,3,AW,H,539.0,-535.0,1.036,75.33996897963061,-2.0,539.0,1074.0,4.851,53.27340295988094,10.117619112972928,520.2702702702702,4.6824324324324325,520.2702702200511,1991.7864492916228,-7096.42116034722,24.115872111011974,-185.77863976037537,6.544782426194388
K,0,3,AW,H,176.0,-354.0,-2.36,28.70942113180701,-1.5,354.0,530.0,3.186,20.3006263662411,17.437885590992593,-150.0,-1.35,-150.00000000635595,1037.2624106477056,-7770.759709611657,-109.28466828201346,-74.17055001845199,-14.04209676258214
K,0,3,AW,H,776.0,-1127.0,-1.378,111.19892768834634,-1.0,1127.0,1903.0,10.143,78.62951582910223,14.333040056478088,-817.8519593613934,-7.36066763425254,-817.851959420744,110.40632825623152,-5908.837927988074,-233.4320921692452,-104.59814841137327,5.3808626665145916
K,0,3,AW,H,273.0,-324.0,-0.852,33.40259814933941,-1.0,324.0,597.0,2.916,23.61920366064712,13.717651308449026,-380.28169014084506,-3.4225352112676055,-380.2816901854791,712.2714383558587,-7705.954757956354,-15.778694663390581,-131.03705360218973,-14.678308183358084
K,0,3,AW,H,583.0,-859.0,-1.146,76.94143651704597,-1.0,859.0,1442.0,7.730999999999999,54.405811515437456,15.788754474441792,-749.56369982548,-6.7460732984293195,-749.5636998908869,201.04054352855587,-6535.8363457340165,-179.25380078254946,-100.92752578187213,-9.492098865576542
K,0,3,AW,H,677.0,-1357.0,-1.41,113.33581920924938,-1.0,1357.0,2034.0,12.213,80.14052631419281,16.9327562771406,-962.4113475177304,-8.661702127659574,-962.4113475859868,-91.90758388387076,-5664.045720039612,-474.40277943600154,20.50133355982649,5.727487394599876
K,0,3,AW,H,418.0,-538.0,-0.298,56.09386990109492,-1.0,538.0,956.0,4.842,39.664355790060185,13.563815402614502,-1805.3691275167787,-16.248322147651006,-1805.3691281226072,-1298.4173836484754,-7197.103584278218,-64.15586859245188,-129.33068154628145,-8.01147889975656
K,0,3,AW,H,215.0,-294.0,-0.394,41.15446688135538,-1.0,294.0,509.0,2.646,29.100602607923577,10.102883571213368,-746.1928934010152,-6.715736040609136,-746.1928935904043,193.74014841222788,-7810.761821871427,-35.804319801070065,-113.84026329239745,0.6869914947638271
K,0,3,AW,H,493.0,-562.0,-0.178,82.70534846870946,0.0,562.0,1055.0,5.058,58.4815127426209,9.609874533741644,-3157.303370786517,-28.415730337078653,-3157.303372560283,-3209.1039124126864,-7057.588281406497,-24.7077983310026,-158.59454125431716,17.35712169044468
K,0,3,AW,H,394.0,-628.0,-0.516,47.5787054302746,-1.0,628.0,1022.0,5.651999999999999,33.64322524982438,18.666462425545188,-1217.0542635658917,-10.95348837209302,-1217.0542638017546,-465.44540083476113,-7094.219155138993,-148.54023538096166,-86.91836925005956,-20.42149988305378
