activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,PC1,PC2,PC3
LC,0,1,AW,H,9.95,8.66,9.452699999999972,0.0674329623316197,9.45,9.95,1.2899999999999991,0.0895499999999999,0.0476823049401853,208.67279827352507,1.0526093073936575,0.0094734837665429,1.052609307382522,-414.2129521089167,-0.936672002099475,-0.2071402005619678
LC,0,1,AW,H,9.87,8.12,9.45229999999998,0.0867800181095059,9.45,9.87,1.75,0.0888299999999999,0.061362739276723,160.8467958949808,1.044190302889246,0.0093977127260032,1.0441903028781991,-462.0404486770101,-0.6771893932042099,-0.7607100416311123
LC,0,1,AW,H,9.63,9.33,9.453039999999962,0.0294362256881812,9.45,9.63,0.3000000000000007,0.08667,0.0208145547966505,462.6570250519907,1.018719903861619,0.0091684791347545,1.0187199038508423,-160.22583662200293,-1.1740490228287364,0.13114035375679656
LC,0,1,AW,H,9.92,9.23,9.452779999999963,0.0382281884056459,9.45,9.92,0.6899999999999995,0.08928,0.0270314112541091,366.98046974857834,1.0494267294912225,0.009444840565421,1.0494267294801205,-255.90382705978232,-0.9771564481749673,0.2683233678705541
LC,0,1,AW,H,10.21,8.38,9.451999999999977,0.080255104283323,9.45,10.21,1.83,0.09189,0.0567489284635712,179.9152913795383,1.0801946677951786,0.0097217520101566,1.0801946677837504,-442.9729886545798,-0.3396941623885503,-0.27770329716991426
LC,0,1,AW,H,10.22,8.04,9.452079999999969,0.0850113372139848,9.45,10.22,2.1800000000000015,0.0919799999999999,0.0601120930217449,170.01570709412857,1.0812434934956152,0.0097311914414605,1.081243493484176,-452.87401998739415,-0.003202762984228613,-0.5881002537974531
LC,0,1,AW,H,9.65,9.23,9.452299999999966,0.037089908636249,9.45,9.65,0.4199999999999999,0.08685,0.0262265259102811,367.9480855761023,1.0209155443648674,0.0091882398992838,1.0209155443540667,-254.93462066828909,-1.4011562603805432,0.07509619486985031
RBS,0,2,AD,H,9.49,9.38,9.43873999999997,0.0154366116086372,9.44,9.49,0.1099999999999994,0.08541,0.0109153327470103,869.4192124009458,1.005430809620779,0.009048877286587,1.0054308096101263,246.5343696901183,0.11678470449028389,-0.02405001028465037
RBS,0,2,AD,H,9.5,9.4,9.439579999999983,0.0151817182538169,9.44,9.5,0.0999999999999996,0.0854999999999999,0.0107350959273375,884.9478443697631,1.0064007085061004,0.0090576063765549,1.006400708495439,262.06291290621436,0.17129285306459607,-0.001994461544237325
RBS,0,2,AD,H,9.53,9.35,9.438579999999968,0.0165145105321421,9.44,9.53,0.1799999999999997,0.0857699999999999,0.0116775223852543,816.0977719069831,1.009685779004896,0.009087172011044,1.0096857789941986,193.21296023232935,0.006570019243401504,-0.010270843231829474
RBS,0,2,AD,H,9.5,9.37,9.43701999999998,0.015780292623096,9.44,9.5,0.1300000000000007,0.0854999999999999,0.0111583519228992,851.3802096978147,1.0066737169148758,0.0090600634522338,1.0066737169042086,228.4953990215447,0.07375831682857559,-0.021759236390083814
RBS,0,2,AD,H,9.64,9.37,9.440419999999976,0.0187597296065221,9.44,9.64,0.2700000000000013,0.08676,0.0132651320179978,726.7172303238787,1.0211410085568255,0.0091902690770114,1.0211410085460089,103.83251844131223,-0.18426754310195825,0.10965538968564736
